,Locus,Occurances in Chromosome 19
1360,ZNF77,3
1361,ZNF772,6
1362,ZNF773,5
1363,ZNF776,2
1364,ZNF780A,28
1365,ZNF780B,17
1366,ZNF781,1
1367,ZNF784,1
1368,ZNF787,3
1369,ZNF788P,7
1370,ZNF790,6
1371,ZNF791,2
1372,ZNF792,1
1373,ZNF793,4
1374,ZNF799,3
1375,ZNF8,1
1376,ZNF805,2
1377,ZNF808,9
1378,ZNF813,1
1379,ZNF814,2
1380,ZNF816,3
1381,ZNF816-ZNF321P,1
1382,ZNF823,6
1383,ZNF829,4
1384,ZNF83,17
1385,ZNF835,3
1386,ZNF836,4
1387,ZNF837,2
1388,ZNF841,13
1389,ZNF844,2
1390,ZNF845,4
1391,ZNF846,4
1392,ZNF85,18
1393,ZNF850,2
1394,ZNF865,1
1395,ZNF875,31
1396,ZNF878,3
1397,ZNF880,2
1398,ZNF888,5
1399,ZNF90,1
1400,ZNF91,8
1401,ZNF93,1
1402,ZNF98,1
1403,ZNF99,1
1404,ZNRF4,1
1405,ZSCAN1,4
1406,ZSCAN18,12
1407,ZSCAN22,8
1408,ZSCAN4,3
1409,ZSCAN5A,16
1410,ZSCAN5B,3
1411,ZSCAN5C,1
1412,ZSWIM4,14
1413,ZSWIM9,5
